asset_id,section_id,division,km_point,department,asset_type,install_date,last_inspection_date
AST0001,SEC001,Ambala,58.9,TRD,Feeder Cable,2007-11-06,2026-07-24
AST0002,SEC001,Ambala,44.4,TRD,Insulator String,2017-11-23,2026-08-14
AST0003,SEC001,Ambala,58.5,TRD,Insulator String,2006-01-26,2026-08-17
AST0004,SEC001,Ambala,47.2,S&T,Axle Counter,2011-10-23,2026-07-04
AST0005,SEC001,Ambala,57.7,S&T,Point Machine,2017-11-15,2026-07-06
AST0006,SEC001,Ambala,43.8,Engineering,Points & Crossing,2022-05-24,2026-07-28
AST0007,SEC001,Ambala,64.2,TRD,Booster Transformer,2017-04-05,2026-08-08
AST0008,SEC002,Ambala,27.7,S&T,Signal Post,2008-11-06,2026-08-22
AST0009,SEC002,Ambala,23.5,TRD,Booster Transformer,2017-10-15,2026-08-07
AST0010,SEC002,Ambala,33.2,TRD,Feeder Cable,2005-12-04,2026-07-19
AST0011,SEC002,Ambala,28.0,TRD,Feeder Cable,2015-05-14,2026-08-24
AST0012,SEC002,Ambala,8.1,Engineering,Bridge Girder,2013-03-17,2026-07-30
AST0013,SEC002,Ambala,29.9,Engineering,Points & Crossing,2021-04-05,2026-07-24
AST0014,SEC002,Ambala,22.0,S&T,Point Machine,2021-01-20,2026-07-04
AST0015,SEC002,Ambala,8.5,S&T,Axle Counter,2016-05-08,2026-07-06
AST0016,SEC002,Ambala,30.8,Engineering,Fish Plate Joint,2007-12-16,2026-08-26
AST0017,SEC002,Ambala,11.3,Engineering,Fish Plate Joint,2020-03-09,2026-07-27
AST0018,SEC003,Ferozepur,22.3,TRD,Booster Transformer,2022-12-23,2026-07-14
AST0019,SEC003,Ferozepur,10.4,Engineering,Points & Crossing,2016-09-15,2026-08-03
AST0020,SEC003,Ferozepur,6.7,Engineering,Fish Plate Joint,2015-10-18,2026-08-30
AST0021,SEC003,Ferozepur,2.2,Engineering,Fish Plate Joint,2006-02-02,2026-08-17
AST0022,SEC003,Ferozepur,12.8,S&T,Signal Post,2013-08-07,2026-07-20
AST0023,SEC003,Ferozepur,17.2,TRD,Insulator String,2020-08-26,2026-08-16
AST0024,SEC003,Ferozepur,4.0,S&T,Point Machine,2018-07-14,2026-08-09
AST0025,SEC003,Ferozepur,16.1,S&T,Signal Post,2008-07-24,2026-08-28
AST0026,SEC003,Ferozepur,7.2,S&T,Signal Post,2011-08-05,2026-07-28
AST0027,SEC003,Ferozepur,7.8,S&T,Point Machine,2012-02-15,2026-07-07
AST0028,SEC004,Ferozepur,55.9,Engineering,Rail Panel,2022-01-03,2026-07-09
AST0029,SEC004,Ferozepur,48.0,Engineering,Fish Plate Joint,2020-07-02,2026-08-18
AST0030,SEC004,Ferozepur,35.1,Engineering,Bridge Girder,2017-08-10,2026-08-15
AST0031,SEC004,Ferozepur,56.2,S&T,Level Crossing Gate,2020-04-10,2026-08-22
AST0032,SEC004,Ferozepur,53.5,Engineering,Rail Panel,2022-12-11,2026-08-28
AST0033,SEC004,Ferozepur,53.7,Engineering,Rail Panel,2021-09-06,2026-07-04
AST0034,SEC004,Ferozepur,62.2,Engineering,Rail Panel,2007-02-22,2026-07-24
AST0035,SEC004,Ferozepur,38.8,Engineering,Bridge Girder,2012-10-02,2026-07-25
AST0036,SEC004,Ferozepur,48.4,TRD,OHE Mast,2021-05-07,2026-08-11
AST0037,SEC004,Ferozepur,42.6,TRD,Feeder Cable,2017-11-21,2026-08-23
AST0038,SEC005,Delhi,71.4,S&T,Track Circuit,2007-08-20,2026-08-31
AST0039,SEC005,Delhi,39.7,TRD,OHE Mast,2011-05-05,2026-07-30
AST0040,SEC005,Delhi,69.5,S&T,Signal Post,2016-03-15,2026-08-13
AST0041,SEC005,Delhi,59.6,TRD,Feeder Cable,2021-11-27,2026-08-31
AST0042,SEC005,Delhi,71.5,TRD,Feeder Cable,2008-03-09,2026-07-06
AST0043,SEC005,Delhi,64.5,Engineering,Rail Panel,2009-05-20,2026-08-14
AST0044,SEC005,Delhi,44.5,Engineering,Points & Crossing,2013-08-09,2026-07-30
AST0045,SEC005,Delhi,60.5,Engineering,Rail Panel,2013-01-11,2026-08-29
AST0046,SEC006,Delhi,27.0,TRD,Feeder Cable,2019-12-14,2026-07-27
AST0047,SEC006,Delhi,25.1,TRD,OHE Mast,2009-01-27,2026-07-28
AST0048,SEC006,Delhi,41.4,S&T,Level Crossing Gate,2018-01-10,2026-08-23
AST0049,SEC006,Delhi,54.3,S&T,Signal Post,2011-04-22,2026-07-19
AST0050,SEC006,Delhi,49.9,Engineering,Points & Crossing,2018-12-05,2026-07-23
AST0051,SEC006,Delhi,57.1,Engineering,Fish Plate Joint,2010-07-01,2026-07-06
AST0052,SEC006,Delhi,49.9,Engineering,Points & Crossing,2018-11-28,2026-07-11
