defect_id,section_id,department,defect_type,severity,status,overdue_days,priority_score,explanation
DEF0057,SEC005,TRD,OHE wire wear,Critical,Resolved,0,100.1,"Defect DEF0057 (TRD - SEC005) scored 100.1/100 priority because: severity is Critical (+23.9 pts), located on a high-traffic section (134 trains/day, +4.7 pts), and available maintenance window is tight (96 mins, +5.1 pts)."
DEF0142,SEC011,TRD,Traction pole tilt,Critical,Overdue,9,100.0,"Defect DEF0142 (TRD - SEC011) scored 100.0/100 priority because: severity is Critical (+24.1 pts), overdue by 9 days (+8.7 pts), and located on a high-traffic section (93 trains/day, +2.2 pts)."
DEF0093,SEC011,TRD,Traction pole tilt,Major,Overdue,11,100.0,"Defect DEF0093 (TRD - SEC011) scored 100.0/100 priority because: severity is Major (+8.2 pts), overdue by 11 days (+15.0 pts), and available maintenance window is tight (91 mins, +6.3 pts)."
DEF0033,SEC006,TRD,Sagging catenary wire,Critical,Open,0,100.0,"Defect DEF0033 (TRD - SEC006) scored 100.0/100 priority because: severity is Critical (+23.1 pts), located on a high-traffic section (142 trains/day, +5.4 pts), and available maintenance window is tight (106 mins, +5.5 pts)."
DEF0100,SEC005,S&T,Axle counter fault,Critical,Overdue,4,100.0,"Defect DEF0100 (S&T - SEC005) scored 100.0/100 priority because: severity is Critical (+20.0 pts), overdue by 4 days (+4.9 pts), located on a high-traffic section (134 trains/day, +3.8 pts), and available maintenance window is tight (114 mins, +4.2 pts)."
DEF0104,SEC006,S&T,Interlocking fault,Critical,Scheduled,0,100.0,"Defect DEF0104 (S&T - SEC006) scored 100.0/100 priority because: severity is Critical (+22.9 pts), located on a high-traffic section (142 trains/day, +5.3 pts), and available maintenance window is tight (106 mins, +5.7 pts)."
DEF0115,SEC012,Engineering,Loose fittings,Critical,Overdue,11,100.0,"Defect DEF0115 (Engineering - SEC012) scored 100.0/100 priority because: severity is Critical (+19.7 pts), overdue by 11 days (+10.2 pts), and available maintenance window is tight (91 mins, +4.3 pts)."
DEF0085,SEC005,TRD,OHE wire wear,Critical,Overdue,7,100.0,"Defect DEF0085 (TRD - SEC005) scored 100.0/100 priority because: severity is Critical (+18.5 pts), overdue by 7 days (+6.5 pts), located on a high-traffic section (134 trains/day, +3.7 pts), and available maintenance window is tight (114 mins, +4.2 pts)."
DEF0122,SEC005,Engineering,Cracked fish plate,Critical,Scheduled,0,100.0,"Defect DEF0122 (Engineering - SEC005) scored 100.0/100 priority because: severity is Critical (+23.8 pts), located on a high-traffic section (134 trains/day, +4.9 pts), and available maintenance window is tight (114 mins, +4.8 pts)."
DEF0129,SEC011,TRD,Sagging catenary wire,Critical,Overdue,11,100.0,"Defect DEF0129 (TRD - SEC011) scored 100.0/100 priority because: severity is Critical (+24.1 pts), overdue by 11 days (+9.6 pts), and located on a high-traffic section (93 trains/day, +2.0 pts)."
DEF0133,SEC002,Engineering,Track geometry deviation,Major,Overdue,15,100.0,"Defect DEF0133 (Engineering - SEC002) scored 100.0/100 priority because: severity is Major (+9.0 pts), overdue by 15 days (+15.0 pts), located on a high-traffic section (120 trains/day, +3.3 pts), available maintenance window is tight (127 mins, +3.5 pts), and heavy 7-day freight forecast (206 trains, +2.2 pts)."
DEF0155,SEC005,TRD,Insulator damage,Critical,Overdue,7,100.0,"Defect DEF0155 (TRD - SEC005) scored 100.0/100 priority because: severity is Critical (+19.1 pts), overdue by 7 days (+7.1 pts), located on a high-traffic section (134 trains/day, +4.3 pts), and available maintenance window is tight (114 mins, +4.2 pts)."
DEF0158,SEC007,Engineering,Track geometry deviation,Critical,Overdue,14,100.0,"Defect DEF0158 (Engineering - SEC007) scored 100.0/100 priority because: severity is Critical (+23.6 pts), and overdue by 14 days (+12.1 pts)."
DEF0175,SEC009,Engineering,Ballast deficiency,Critical,Open,0,100.0,"Defect DEF0175 (Engineering - SEC009) scored 100.0/100 priority because: severity is Critical (+25.4 pts), located on a high-traffic section (151 trains/day, +5.8 pts), and available maintenance window is tight (83 mins, +5.8 pts)."
DEF0147,SEC006,S&T,Axle counter fault,Critical,Open,0,100.0,"Defect DEF0147 (S&T - SEC006) scored 100.0/100 priority because: severity is Critical (+23.4 pts), located on a high-traffic section (142 trains/day, +5.2 pts), and available maintenance window is tight (106 mins, +5.9 pts)."
DEF0037,SEC004,Engineering,Cracked fish plate,Critical,Overdue,10,99.9,"Defect DEF0037 (Engineering - SEC004) scored 99.9/100 priority because: severity is Critical (+23.5 pts), overdue by 10 days (+13.0 pts), and moderate section traffic (73 trains/day, -3.7 pts)."
DEF0118,SEC002,Engineering,Ballast deficiency,Critical,Scheduled,0,99.6,"Defect DEF0118 (Engineering - SEC002) scored 99.6/100 priority because: severity is Critical (+24.1 pts), located on a high-traffic section (120 trains/day, +4.3 pts), and available maintenance window is tight (76 mins, +5.4 pts)."
DEF0097,SEC002,Engineering,Rail fracture,Critical,Open,0,99.1,"Defect DEF0097 (Engineering - SEC002) scored 99.1/100 priority because: severity is Critical (+25.8 pts), located on a high-traffic section (120 trains/day, +4.6 pts), and available maintenance window is tight (127 mins, +2.5 pts)."
DEF0072,SEC008,S&T,Track circuit failure,Critical,Open,0,98.3,"Defect DEF0072 (S&T - SEC008) scored 98.3/100 priority because: severity is Critical (+24.9 pts), located on a high-traffic section (113 trains/day, +4.1 pts), and available maintenance window is tight (113 mins, +5.0 pts)."
DEF0052,SEC002,Engineering,Ballast deficiency,Critical,Resolved,0,98.1,"Defect DEF0052 (Engineering - SEC002) scored 98.1/100 priority because: severity is Critical (+25.4 pts), located on a high-traffic section (120 trains/day, +5.1 pts), and available maintenance window is tight (127 mins, +3.0 pts)."
DEF0179,SEC002,Engineering,Track geometry deviation,Critical,Open,0,97.6,"Defect DEF0179 (Engineering - SEC002) scored 97.6/100 priority because: severity is Critical (+28.2 pts), located on a high-traffic section (120 trains/day, +5.9 pts), and available maintenance window is tight (127 mins, +3.1 pts)."
DEF0140,SEC011,Engineering,Ballast deficiency,Critical,Resolved,0,97.2,"Defect DEF0140 (Engineering - SEC011) scored 97.2/100 priority because: severity is Critical (+29.7 pts), and located on a high-traffic section (93 trains/day, +2.7 pts)."
DEF0030,SEC006,TRD,Booster transformer issue,Critical,Overdue,13,96.9,"Defect DEF0030 (TRD - SEC006) scored 96.9/100 priority because: severity is Critical (+17.1 pts), overdue by 13 days (+7.2 pts), located on a high-traffic section (142 trains/day, +3.6 pts), and available maintenance window is tight (106 mins, +4.3 pts)."
DEF0065,SEC012,S&T,Level crossing gate fault,Critical,Resolved,0,93.0,Defect DEF0065 (S&T - SEC012) scored 93.0/100 priority because: severity is Critical (+26.4 pts).
DEF0067,SEC012,S&T,Signal aspect failure,Critical,Resolved,0,92.5,Defect DEF0067 (S&T - SEC012) scored 92.5/100 priority because: severity is Critical (+26.0 pts).
DEF0110,SEC007,Engineering,Worn out rail,Critical,Scheduled,0,91.9,Defect DEF0110 (Engineering - SEC007) scored 91.9/100 priority because: severity is Critical (+28.2 pts).
DEF0132,SEC012,S&T,Point machine malfunction,Critical,Resolved,0,91.4,Defect DEF0132 (S&T - SEC012) scored 91.4/100 priority because: severity is Critical (+25.9 pts).
DEF0014,SEC011,TRD,Feeder cable fault,Critical,Resolved,0,91.1,"Defect DEF0014 (TRD - SEC011) scored 91.1/100 priority because: severity is Critical (+27.6 pts), and located on a high-traffic section (93 trains/day, +2.8 pts)."
DEF0095,SEC006,S&T,Axle counter fault,Major,Open,0,90.9,"Defect DEF0095 (S&T - SEC006) scored 90.9/100 priority because: severity is Major (+8.2 pts), located on a high-traffic section (142 trains/day, +5.5 pts), available maintenance window is tight (106 mins, +8.7 pts), and heavy 7-day freight forecast (281 trains, +4.4 pts)."
DEF0024,SEC007,Engineering,Rail fracture,Major,Overdue,10,90.6,"Defect DEF0024 (Engineering - SEC007) scored 90.6/100 priority because: severity is Major (+9.4 pts), overdue by 10 days (+16.4 pts), and ample maintenance window available (155 mins, -2.2 pts)."
DEF0092,SEC001,S&T,Signal aspect failure,Critical,Open,0,89.9,"Defect DEF0092 (S&T - SEC001) scored 89.9/100 priority because: severity is Critical (+28.7 pts), and moderate section traffic (76 trains/day, -2.9 pts)."
DEF0086,SEC009,TRD,OHE wire wear,Major,Open,0,89.6,"Defect DEF0086 (TRD - SEC009) scored 89.6/100 priority because: severity is Major (+8.0 pts), located on a high-traffic section (151 trains/day, +5.7 pts), available maintenance window is tight (98 mins, +8.6 pts), and heavy 7-day freight forecast (278 trains, +4.0 pts)."
DEF0079,SEC009,Engineering,Cracked fish plate,Major,Open,0,89.5,"Defect DEF0079 (Engineering - SEC009) scored 89.5/100 priority because: severity is Major (+8.0 pts), located on a high-traffic section (151 trains/day, +5.8 pts), available maintenance window is tight (98 mins, +8.9 pts), and heavy 7-day freight forecast (285 trains, +3.8 pts)."
DEF0027,SEC009,TRD,OHE wire wear,Major,Open,0,89.3,"Defect DEF0027 (TRD - SEC009) scored 89.3/100 priority because: severity is Major (+8.2 pts), located on a high-traffic section (151 trains/day, +5.7 pts), available maintenance window is tight (98 mins, +8.6 pts), and heavy 7-day freight forecast (293 trains, +3.9 pts)."
DEF0163,SEC012,S&T,Track circuit failure,Critical,Resolved,0,89.1,Defect DEF0163 (S&T - SEC012) scored 89.1/100 priority because: severity is Critical (+29.4 pts).
DEF0091,SEC009,S&T,Point machine malfunction,Major,Open,0,87.2,"Defect DEF0091 (S&T - SEC009) scored 87.2/100 priority because: severity is Major (+7.4 pts), located on a high-traffic section (151 trains/day, +5.7 pts), available maintenance window is tight (98 mins, +8.2 pts), and heavy 7-day freight forecast (266 trains, +2.8 pts)."
DEF0066,SEC003,S&T,Point machine malfunction,Critical,Open,0,87.1,"Defect DEF0066 (S&T - SEC003) scored 87.1/100 priority because: severity is Critical (+28.1 pts), and moderate section traffic (74 trains/day, -4.2 pts)."
DEF0134,SEC004,Engineering,Track geometry deviation,Critical,Open,0,86.7,"Defect DEF0134 (Engineering - SEC004) scored 86.7/100 priority because: severity is Critical (+28.3 pts), and moderate section traffic (73 trains/day, -4.8 pts)."
DEF0043,SEC006,TRD,OHE wire wear,Major,Open,0,86.7,"Defect DEF0043 (TRD - SEC006) scored 86.7/100 priority because: severity is Major (+7.3 pts), located on a high-traffic section (142 trains/day, +5.5 pts), available maintenance window is tight (106 mins, +8.1 pts), and heavy 7-day freight forecast (249 trains, +2.6 pts)."
DEF0143,SEC009,Engineering,Rail fracture,Major,Scheduled,0,86.1,"Defect DEF0143 (Engineering - SEC009) scored 86.1/100 priority because: severity is Major (+7.0 pts), located on a high-traffic section (151 trains/day, +5.8 pts), available maintenance window is tight (98 mins, +8.3 pts), and heavy 7-day freight forecast (224 trains, +2.3 pts)."
DEF0099,SEC009,TRD,Booster transformer issue,Major,Resolved,0,85.9,"Defect DEF0099 (TRD - SEC009) scored 85.9/100 priority because: severity is Major (+7.2 pts), located on a high-traffic section (151 trains/day, +5.6 pts), available maintenance window is tight (98 mins, +7.9 pts), and heavy 7-day freight forecast (257 trains, +2.2 pts)."
DEF0059,SEC010,S&T,Axle counter fault,Critical,Overdue,1,85.9,"Defect DEF0059 (S&T - SEC010) scored 85.9/100 priority because: severity is Critical (+23.9 pts), overdue by 1 days (+4.5 pts), and moderate section traffic (50 trains/day, -7.0 pts)."
DEF0039,SEC005,Engineering,Rail fracture,Major,Open,0,84.6,"Defect DEF0039 (Engineering - SEC005) scored 84.6/100 priority because: severity is Major (+7.2 pts), located on a high-traffic section (134 trains/day, +4.6 pts), available maintenance window is tight (114 mins, +7.6 pts), and heavy 7-day freight forecast (226 trains, +2.0 pts)."
DEF0082,SEC005,TRD,Booster transformer issue,Major,Open,0,84.5,"Defect DEF0082 (TRD - SEC005) scored 84.5/100 priority because: severity is Major (+7.6 pts), located on a high-traffic section (134 trains/day, +4.2 pts), available maintenance window is tight (114 mins, +7.2 pts), and heavy 7-day freight forecast (233 trains, +2.4 pts)."
