defect_id,date_reported,department,source_system,asset_id,km_point,section_id,division,defect_type,severity,estimated_repair_hours,due_date,status,overdue_days
DEF0001,2026-09-01,TRD,TDMS,AST0042,71.5,SEC005,Delhi,Traction pole tilt,Major,2.7,2026-09-09,Open,0
DEF0002,2026-09-01,Engineering,TMS,AST0079,38.1,SEC010,Moradabad,Rail fracture,Major,3.8,2026-09-10,Overdue,8
DEF0003,2026-09-01,S&T,SMMS,AST0004,47.2,SEC001,Ambala,Signal aspect failure,Minor,1.8,2026-09-24,Scheduled,0
DEF0004,2026-09-01,TRD,TDMS,AST0057,29.5,SEC007,Lucknow,OHE wire wear,Minor,1.0,2026-09-15,Open,0
DEF0005,2026-09-01,Engineering,TMS,AST0028,55.9,SEC004,Ferozepur,Worn out rail,Major,2.7,2026-09-09,Overdue,8
DEF0006,2026-09-01,Engineering,TMS,AST0056,14.8,SEC007,Lucknow,Rail fracture,Minor,0.7,2026-09-17,Open,0
DEF0007,2026-09-01,S&T,SMMS,AST0053,25.7,SEC007,Lucknow,Track circuit failure,Minor,1.1,2026-09-14,Open,0
DEF0008,2026-09-02,S&T,SMMS,AST0048,41.4,SEC006,Delhi,Point machine malfunction,Minor,1.2,2026-09-14,Resolved,0
DEF0009,2026-09-02,Engineering,TMS,AST0032,53.5,SEC004,Ferozepur,Loose fittings,Major,3.6,2026-09-10,Open,0
DEF0010,2026-09-02,S&T,SMMS,AST0072,28.4,SEC009,Moradabad,Track circuit failure,Minor,1.1,2026-09-25,Resolved,0
DEF0011,2026-09-02,TRD,TDMS,AST0037,42.6,SEC004,Ferozepur,Sagging catenary wire,Major,2.2,2026-09-10,Open,0
DEF0012,2026-09-02,Engineering,TMS,AST0029,48.0,SEC004,Ferozepur,Rail fracture,Major,3.1,2026-09-06,Scheduled,0
DEF0013,2026-09-03,Engineering,TMS,AST0056,14.8,SEC007,Lucknow,Worn out rail,Minor,1.7,2026-09-13,Scheduled,0
DEF0014,2026-09-03,TRD,TDMS,AST0089,37.5,SEC011,Ferozepur,Feeder cable fault,Critical,3.8,2026-09-05,Resolved,0
DEF0015,2026-09-03,S&T,SMMS,AST0063,52.5,SEC008,Lucknow,Point machine malfunction,Major,2.8,2026-09-08,Scheduled,0
DEF0016,2026-09-03,Engineering,TMS,AST0012,8.1,SEC002,Ambala,Loose fittings,Major,2.8,2026-09-10,Open,0
DEF0017,2026-09-03,Engineering,TMS,AST0073,35.4,SEC009,Moradabad,Ballast deficiency,Minor,1.4,2026-09-15,Resolved,0
DEF0018,2026-09-03,Engineering,TMS,AST0076,60.5,SEC010,Moradabad,Rail fracture,Major,2.5,2026-09-12,Open,0
